time,data_queue_size,fuel_valve_setpoint,fuel_valve_internal_pos,fuel_valve_encoder_pos,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_internal_pos,lox_valve_encoder_pos,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402
0.03198942,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98659515,73.97999573,73.04399872,6.59833813,198.36424255,7002955,660.38281250,613.55468750,294.83789062,792.56640625,507.64453125,753.02850342,11.90234375,12.14648437
0.03296914,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98679352,73.97999573,73.04399872,6.79670238,198.36424255,7002955,661.84765625,615.01953125,294.83789062,795.00781250,507.15625000,751.07537842,9.46093750,9.21679687
0.03395710,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98699951,73.97999573,73.04399872,7.00269604,205.99363708,7002955,666.24218750,609.16015625,295.57031250,794.51953125,505.20312500,750.58709717,11.16992187,9.46093750
0.03496272,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98719788,73.97999573,73.04399872,7.20106030,198.36424255,7002955,659.89453125,613.06640625,295.57031250,796.47265625,505.69140625,743.99530029,9.70507812,8.48437500
0.03596515,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98739624,73.97999573,73.04399872,7.39942455,198.36424255,7002955,661.84765625,618.92578125,295.81445312,790.12500000,507.15625000,744.23944092,8.97265625,11.41406250
0.03720902,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98759460,73.97999573,73.04399872,7.59778881,198.36424255,7002955,665.75390625,618.92578125,296.05859375,791.10156250,503.25000000,746.43670654,10.68164062,11.41406250
0.03806954,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98780060,73.97999573,73.04399872,7.80378246,205.99363708,7002955,660.87109375,612.57812500,295.57031250,791.58984375,502.76171875,746.19256592,10.92578125,12.39062500
0.03899381,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98799896,73.97999573,73.04399872,8.00214672,198.36424255,7002955,659.40625000,614.53125000,294.34960937,793.05468750,502.76171875,748.63397217,11.41406250,11.16992187
0.03995899,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98819733,73.97999573,73.04399872,8.20051098,198.36424255,7002955,663.80078125,615.99609375,294.59375000,790.12500000,505.69140625,746.19256592,10.19335937,9.94921875
0.04097392,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98839569,73.97999573,73.04399872,8.39887524,198.36424255,7002955,660.38281250,616.48437500,295.32617187,791.58984375,506.66796875,751.80780029,11.65820312,13.12304687
0.04197199,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98859406,73.97999573,73.04399872,8.59723949,198.36424255,7002955,658.91796875,611.60156250,295.08203125,793.54296875,502.27343750,745.21600342,12.14648437,13.36718750
