time,sensor,value,event,system,source
1772905880869553,gnc_lox_is_on,1.0,,atlas,gnc
1772905880871445,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880871445,gnc_data_queue_size,0.0,,atlas,gnc
1772905880871445,gnc_sequence_number,129196.0,,atlas,gnc
1772905880871445,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880871445,gnc_pt102,0.0,,atlas,gnc
1772905880871445,gnc_pt103,0.0,,atlas,gnc
1772905880871445,gnc_pt202,0.0,,atlas,gnc
1772905880871445,gnc_pt203,0.0,,atlas,gnc
1772905880871445,gnc_ptf401,0.0,,atlas,gnc
1772905880871445,gnc_pto401,0.0,,atlas,gnc
1772905880871445,gnc_ptc401,0.0,,atlas,gnc
1772905880871445,gnc_ptc402,0.0,,atlas,gnc
1772905880871445,gnc_tc102,0.0,,atlas,gnc
1772905880871445,gnc_tc102_5,0.0,,atlas,gnc
1772905880871445,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880871445,gnc_fuel_target,0.0,,atlas,gnc
1772905880871445,gnc_fuel_driver,0.0,,atlas,gnc
1772905880871445,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880871445,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880871445,gnc_lox_target,0.0,,atlas,gnc
1772905880871445,gnc_lox_driver,0.0,,atlas,gnc
1772905880871445,gnc_lox_encoder,0.0,,atlas,gnc
1772905880871445,gnc_lox_is_on,1.0,,atlas,gnc
1772905880871474,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880871474,gnc_data_queue_size,0.0,,atlas,gnc
1772905880871474,gnc_sequence_number,129197.0,,atlas,gnc
1772905880871474,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880871474,gnc_pt102,0.0,,atlas,gnc
1772905880871474,gnc_pt103,0.0,,atlas,gnc
1772905880871474,gnc_pt202,0.0,,atlas,gnc
1772905880871474,gnc_pt203,0.0,,atlas,gnc
1772905880871474,gnc_ptf401,0.0,,atlas,gnc
1772905880871474,gnc_pto401,0.0,,atlas,gnc
1772905880871474,gnc_ptc401,0.0,,atlas,gnc
1772905880871474,gnc_ptc402,0.0,,atlas,gnc
1772905880871474,gnc_tc102,0.0,,atlas,gnc
1772905880871474,gnc_tc102_5,0.0,,atlas,gnc
1772905880871474,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880871474,gnc_fuel_target,0.0,,atlas,gnc
1772905880871474,gnc_fuel_driver,0.0,,atlas,gnc
1772905880871474,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880871474,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880871474,gnc_lox_target,0.0,,atlas,gnc
1772905880871474,gnc_lox_driver,0.0,,atlas,gnc
1772905880871474,gnc_lox_encoder,0.0,,atlas,gnc
1772905880871474,gnc_lox_is_on,1.0,,atlas,gnc
1772905880871485,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880871485,gnc_data_queue_size,0.0,,atlas,gnc
1772905880871485,gnc_sequence_number,129198.0,,atlas,gnc
1772905880871485,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880871485,gnc_pt102,0.0,,atlas,gnc
1772905880871485,gnc_pt103,0.0,,atlas,gnc
1772905880871485,gnc_pt202,0.0,,atlas,gnc
1772905880871485,gnc_pt203,0.0,,atlas,gnc
1772905880871485,gnc_ptf401,0.0,,atlas,gnc
1772905880871485,gnc_pto401,0.0,,atlas,gnc
1772905880871485,gnc_ptc401,0.0,,atlas,gnc
1772905880871485,gnc_ptc402,0.0,,atlas,gnc
1772905880871485,gnc_tc102,0.0,,atlas,gnc
1772905880871485,gnc_tc102_5,0.0,,atlas,gnc
1772905880871485,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880871485,gnc_fuel_target,0.0,,atlas,gnc
1772905880871485,gnc_fuel_driver,0.0,,atlas,gnc
1772905880871485,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880871485,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880871485,gnc_lox_target,0.0,,atlas,gnc
1772905880871485,gnc_lox_driver,0.0,,atlas,gnc
1772905880871485,gnc_lox_encoder,0.0,,atlas,gnc
1772905880871485,gnc_lox_is_on,1.0,,atlas,gnc
1772905880871494,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880871494,gnc_data_queue_size,0.0,,atlas,gnc
1772905880871494,gnc_sequence_number,129199.0,,atlas,gnc
1772905880871494,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880871494,gnc_pt102,0.0,,atlas,gnc
1772905880871494,gnc_pt103,0.0,,atlas,gnc
1772905880871494,gnc_pt202,0.0,,atlas,gnc
1772905880871494,gnc_pt203,0.0,,atlas,gnc
1772905880871494,gnc_ptf401,0.0,,atlas,gnc
1772905880871494,gnc_pto401,0.0,,atlas,gnc
1772905880871494,gnc_ptc401,0.0,,atlas,gnc
1772905880871494,gnc_ptc402,0.0,,atlas,gnc
1772905880871494,gnc_tc102,0.0,,atlas,gnc
1772905880871494,gnc_tc102_5,0.0,,atlas,gnc
1772905880871494,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880871494,gnc_fuel_target,0.0,,atlas,gnc
1772905880871494,gnc_fuel_driver,0.0,,atlas,gnc
1772905880871494,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880871494,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880871494,gnc_lox_target,0.0,,atlas,gnc
1772905880871494,gnc_lox_driver,0.0,,atlas,gnc
1772905880871494,gnc_lox_encoder,0.0,,atlas,gnc
1772905880871494,gnc_lox_is_on,1.0,,atlas,gnc
1772905880871502,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880871502,gnc_data_queue_size,0.0,,atlas,gnc
1772905880871502,gnc_sequence_number,129200.0,,atlas,gnc
1772905880871502,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880871502,gnc_pt102,0.0,,atlas,gnc
1772905880871502,gnc_pt103,0.0,,atlas,gnc
1772905880871502,gnc_pt202,0.0,,atlas,gnc
1772905880871502,gnc_pt203,0.0,,atlas,gnc
1772905880871502,gnc_ptf401,0.0,,atlas,gnc
