time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.09005404,0,8.18999958,7.98749971,202.49986267,-0.94604486,27917,52.73437500,646.97265625,1234.37500000
0.09101375,0,8.27999973,8.07749939,202.50033569,0.47302243,67818,52.97851562,646.72851562,1233.88671875
0.09200552,0,8.36999989,8.17875004,191.24983215,-11250.50292969,50112,52.97851562,646.97265625,1234.37500000
0.09303867,0,8.46000004,8.27999973,180.00028992,-11249.54199219,58705,44.92187500,641.35742187,1223.63281250
0.09402876,0,8.55000019,8.35874939,191.25079346,11250.50292969,81807,44.92187500,641.35742187,1224.60937500
0.09504408,0,8.64000034,8.44874954,191.25079346,0.00000000,29718,52.97851562,647.21679687,1233.88671875
0.09602320,0,8.73000050,8.53874969,191.25079346,0.00000000,64712,52.97851562,646.72851562,1233.88671875
0.09704478,0,8.81999969,8.63999939,180.00028992,-11250.50292969,73630,44.92187500,641.35742187,1224.12109375
0.09804730,0,8.90999985,8.71875000,191.24983215,11249.54199219,31928,52.97851562,646.72851562,1233.39843750
0.09965438,0,9.00000000,8.92124939,179.24983215,-11999.99902344,31913,44.92187500,641.35742187,1224.12109375
0.10011356,0,9.09000015,8.92124939,168.75074768,-10499.08398437,31913,44.67773437,641.35742187,1224.12109375
0.10102867,0,9.18000031,8.98874950,180.75074768,11999.99902344,77220,44.92187500,641.60156250,1224.12109375
0.10204211,0,9.27000046,9.06749916,192.75074768,11999.99902344,84910,52.73437500,646.72851562,1234.37500000
0.10303002,0,9.36000061,9.15749931,202.50128174,9750.53320312,56823,44.92187500,641.35742187,1224.12109375
0.10404855,0,9.44999981,9.25874996,191.24983215,-11251.44921875,27887,44.92187500,641.35742187,1225.58593750
0.10502344,0,9.53999996,9.33749962,202.50033569,11250.50292969,79437,52.97851562,646.97265625,1234.37500000
0.10601343,0,9.63000011,9.43874931,191.25079346,-11249.54199219,59238,44.92187500,641.60156250,1224.12109375
0.10706174,0,9.72000027,9.53999996,180.00028992,-11250.50292969,29252,44.67773437,641.11328125,1223.63281250
0.10804985,0,9.80999947,9.61874962,191.24983215,11249.54199219,31885,52.49023437,646.24023437,1233.39843750
0.10903824,0,9.89999962,9.70874977,191.24983215,0.00000000,81390,44.67773437,641.11328125,1223.63281250
0.11002544,0,9.98999977,9.79874992,191.24983215,0.00000000,77185,44.92187500,641.35742187,1224.12109375
0.11105283,0,10.07999992,9.88874912,191.25079346,0.96130365,29815,52.73437500,646.24023437,1233.39843750
0.11203619,0,10.17000008,9.96749973,202.50033569,11249.54199219,70118,52.73437500,646.48437500,1233.39843750
0.11347319,0,10.26000023,10.13624954,190.50033569,-11999.99902344,29600,52.49023437,645.99609375,1233.39843750
0.11406716,0,10.35000038,10.14750004,202.50033569,11999.99902344,70367,52.49023437,646.24023437,1233.39843750
0.11506234,0,10.43999958,10.24874973,191.24983215,-11250.50292969,27263,44.67773437,641.11328125,1223.63281250
0.11604108,0,10.52999973,10.32749939,202.50033569,11250.50292969,91118,52.73437500,646.48437500,1233.39843750
0.11703283,0,10.61999989,10.42874908,191.25079346,-11249.54199219,59683,44.92187500,641.35742187,1223.63281250
0.11803100,0,10.71000004,10.51874924,191.25079346,0.00000000,64343,44.67773437,641.11328125,1224.12109375
0.11903981,0,10.80000019,10.60874939,191.25079346,0.00000000,63292,44.67773437,641.11328125,1223.63281250
0.12003233,0,10.89000034,10.69874954,191.25079346,0.00000000,78460,44.67773437,640.86914062,1223.63281250
0.12103255,0,10.98000050,10.78874969,191.25079346,0.00000000,71560,44.67773437,641.11328125,1224.12109375
0.12203972,0,11.07000065,10.87874985,202.50128174,11250.48730469,29807,44.92187500,641.35742187,1223.63281250
0.12305461,0,11.15999985,10.97999954,191.24983215,-11251.44921875,27847,44.92187500,641.35742187,1224.60937500
0.12404672,0,11.25000000,11.06999969,191.25079346,0.96130365,29295,44.92187500,641.11328125,1223.14453125
0.12505099,0,11.34000015,11.15999985,180.00028992,-11250.50292969,29892,44.92187500,641.35742187,1223.63281250
0.12604268,0,11.43000031,11.23874950,191.25079346,11250.50292969,31868,52.97851562,646.72851562,1233.88671875
0.12746711,0,11.52000046,11.40749931,179.25079346,-11999.99902344,33187,44.92187500,641.11328125,1224.12109375
0.12810893,0,11.60999966,11.48624992,191.24983215,11999.03808594,29833,48.82812500,644.53125000,1227.53906250
0.12902838,0,11.69999981,11.57624912,179.24983215,-11999.99902344,70892,52.73437500,646.24023437,1233.39843750
0.13003251,0,11.78999996,11.65499973,167.24983215,-11999.99902344,83473,52.73437500,646.48437500,1233.88671875
0.13105716,0,11.88000011,11.78999996,155.24983215,-11999.99902344,36907,48.33984375,643.55468750,1229.98046875
0.13203630,0,11.97000027,11.87999916,143.24983215,-11999.99902344,83772,45.16601562,641.35742187,1224.12109375
0.13305475,0,12.06000042,12.00374985,131.24983215,-11999.99902344,45072,48.33984375,643.79882812,1229.00390625
0.13402587,0,12.15000057,12.07124901,119.24983215,-11999.99902344,77327,44.67773437,641.11328125,1223.63281250
