time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.16706090,0,54.04689026,53.88749695,225.00000000,0.00000000,26012,129.88281250,696.28906250,1360.83984375
0.16804814,0,54.15518188,54.01124954,213.00000000,-11999.99902344,24813,121.09375000,692.38281250,1355.95703125
0.16940778,0,54.26347351,54.16874695,201.00000000,-11999.99902344,29160,134.76562500,699.21875000,1365.72265625
0.17005700,0,54.37176514,54.20249939,189.00000000,-11999.99902344,27902,121.33789062,693.11523437,1355.95703125
0.17103064,0,54.48006058,54.29249954,187.56101990,-1438.97998047,60877,121.33789062,692.87109375,1356.44531250
0.17202726,0,54.58835220,54.38249588,199.56101990,11999.99902344,54718,134.76562500,699.21875000,1365.23437500
0.17303507,0,54.69664383,54.48374939,211.56101990,11999.99902344,73658,121.33789062,692.87109375,1355.95703125
0.17402990,0,54.80493546,54.57374954,223.56101990,11999.99902344,64212,134.76562500,698.97460937,1365.23437500
0.17505287,0,54.91322708,54.67499924,225.00000000,1438.97998047,25943,134.52148437,698.97460937,1365.23437500
0.17600405,0,55.02152252,54.77624893,225.00000000,0.00000000,38052,134.76562500,699.21875000,1364.74609375
0.17707655,0,55.12981415,54.98999786,225.00000000,0.00000000,46398,130.37109375,696.53320312,1360.83984375
0.17801413,0,55.23810577,55.10249710,213.00000000,-11999.99902344,59600,121.09375000,692.87109375,1355.95703125
0.17902614,0,55.34640121,55.20374680,201.00000000,-11999.99902344,76523,121.09375000,692.38281250,1355.95703125
0.18002643,0,55.45468903,55.30499649,189.00000000,-11999.99902344,51793,120.84960937,692.87109375,1356.44531250
0.18102720,0,55.56298447,55.39499664,177.00000000,-11999.99902344,55858,134.52148437,698.97460937,1364.25781250
0.18207420,0,55.67127609,55.48499680,186.27928162,9279.28125000,31978,134.76562500,698.97460937,1364.25781250
0.18337296,0,55.77956772,55.61999893,174.27928162,-11999.99902344,30920,134.76562500,698.97460937,1365.23437500
0.18406017,0,55.88786316,55.72124863,186.27928162,11999.99902344,30940,127.92968750,695.55664062,1361.32812500
0.18506387,0,55.99615479,55.82249832,174.27928162,-11999.99902344,30873,121.09375000,692.62695312,1355.46875000
0.18603158,0,56.10444641,55.90124893,186.27928162,11999.99902344,66377,121.09375000,692.87109375,1356.44531250
0.18703920,0,56.21273804,55.97999573,198.27928162,11999.99902344,76098,134.76562500,699.21875000,1365.23437500
0.18802875,0,56.32102966,56.06999588,210.27928162,11999.99902344,62473,135.00976562,699.21875000,1364.74609375
0.18902542,0,56.42932510,56.17124939,222.27928162,11999.99902344,80013,121.33789062,692.62695312,1355.95703125
0.19003281,0,56.53761673,56.27249908,225.00000000,2720.71826172,69952,121.09375000,692.62695312,1355.95703125
0.19105268,0,56.64590836,56.38499832,225.00000000,0.00000000,24962,121.09375000,692.87109375,1355.46875000
0.19205582,0,56.75419998,56.48624802,225.00000000,0.00000000,24987,134.76562500,699.21875000,1364.74609375
0.19303051,0,56.86249542,56.58749771,225.00000000,0.00000000,80693,134.76562500,699.21875000,1365.23437500
0.19403443,0,56.97078705,56.69999695,225.00000000,0.00000000,80532,121.09375000,692.87109375,1356.44531250
0.19502607,0,57.07907867,56.80124664,225.00000000,0.00000000,58320,135.00976562,698.73046875,1364.74609375
0.19603120,0,57.18737030,56.91374588,225.00000000,0.00000000,24382,121.09375000,692.38281250,1355.46875000
0.19724880,0,57.29566574,57.05999756,225.00000000,0.00000000,24900,120.84960937,692.38281250,1355.95703125
0.19810270,0,57.40395737,57.20624924,225.00000000,0.00000000,27045,127.44140625,696.04492187,1360.83984375
0.19904539,0,57.51224899,57.31874847,213.00000000,-11999.99902344,24818,120.84960937,692.38281250,1355.95703125
0.20000941,0,57.62054062,57.40874863,211.79197693,-1208.02307129,37512,134.76562500,699.21875000,1364.74609375
0.20103867,0,57.72883606,57.50999832,218.83772278,7045.74560547,87960,134.76562500,699.21875000,1365.23437500
0.20203239,0,57.83712769,57.61124802,225.00000000,6162.27685547,77592,134.76562500,699.21875000,1364.74609375
0.20302723,0,57.94541931,57.71249771,225.00000000,0.00000000,72787,134.76562500,699.21875000,1364.74609375
0.20405641,0,58.05371094,57.82499695,225.00000000,0.00000000,24893,134.76562500,699.21875000,1364.74609375
0.20506306,0,58.16200256,57.93749619,224.50636292,-493.63705444,24927,121.09375000,692.87109375,1355.95703125
0.20603190,0,58.27029800,58.02749634,225.00000000,493.63705444,76167,134.76562500,699.21875000,1364.74609375
0.20704965,0,58.37858963,58.21874619,225.00000000,0.00000000,29912,131.34765625,694.58007812,1359.86328125
0.20805250,0,58.48688126,58.34249878,213.00000000,-11999.99902344,23397,121.09375000,692.87109375,1356.44531250
0.20904936,0,58.59517288,58.43249893,201.00000000,-11999.99902344,83303,134.76562500,698.97460937,1364.74609375
0.21007814,0,58.70346451,58.53374863,189.00000000,-11999.99902344,27847,121.33789062,692.87109375,1355.46875000
0.21136212,0,58.81175995,58.66874695,177.00000000,-11999.99902344,29887,134.76562500,698.97460937,1364.74609375
0.21202506,0,58.92005157,58.70249557,189.00000000,11999.99902344,46882,121.09375000,692.87109375,1355.95703125
0.21303250,0,59.02834320,58.78124619,201.00000000,11999.99902344,78380,134.76562500,698.97460937,1364.74609375
0.21405245,0,59.13663864,58.88249588,213.00000000,11999.99902344,27895,134.76562500,698.97460937,1364.25781250
0.21505710,0,59.24493027,58.98374557,225.00000000,11999.99902344,26913,134.52148437,699.21875000,1364.74609375
0.21600492,0,59.35322189,59.08499908,225.00000000,0.00000000,38807,134.76562500,699.21875000,1364.74609375
0.21705242,0,59.46151352,59.19749832,225.00000000,0.00000000,24902,134.76562500,699.21875000,1364.25781250
0.21802789,0,59.56980515,59.29874802,225.00000000,0.00000000,63877,134.76562500,699.21875000,1365.23437500
0.21905985,0,59.67810059,59.41124725,225.00000000,0.00000000,24802,134.76562500,699.21875000,1364.74609375
0.22005761,0,59.78639221,59.52374649,225.00000000,0.00000000,24967,121.09375000,692.62695312,1355.95703125
0.22101052,0,59.89468384,59.62499619,225.00000000,0.00000000,57000,121.09375000,692.87109375,1355.95703125
0.22203167,0,60.00297546,59.73749924,225.00000000,0.00000000,72913,121.09375000,693.11523437,1356.44531250
0.22303180,0,60.11127090,59.83874893,225.00000000,0.00000000,61053,134.76562500,699.21875000,1365.23437500
0.22408544,0,60.21956253,59.95124817,225.00000000,0.00000000,26842,134.76562500,699.21875000,1364.74609375
0.22546490,0,60.32785416,60.13124847,213.00000000,-11999.99902344,24913,135.00976562,698.97460937,1364.25781250
0.22607742,0,60.43614578,60.15374756,225.00000000,11999.99902344,26798,121.09375000,692.62695312,1355.95703125
0.22705308,0,60.54443741,60.25499725,225.00000000,0.00000000,24950,120.60546875,692.62695312,1355.95703125
0.22800256,0,60.65273285,60.35624695,225.00000000,0.00000000,35707,121.09375000,692.87109375,1355.95703125
0.22903903,0,60.76102448,60.46874619,225.00000000,0.00000000,86600,120.84960937,692.62695312,1355.46875000
0.23004998,0,60.86931610,60.58124924,225.00000000,0.00000000,24978,134.52148437,698.97460937,1364.25781250
0.23100507,0,60.97760773,60.68249893,225.00000000,0.00000000,43305,134.76562500,698.97460937,1364.25781250
